137336,137557,137327,137477,0
137481,137784,137459,137678,0
137681,137771,137643,137757,0
137759,137907,137730,137830,0
137831,137863,137754,137843,0
137842,137933,137794,137913,1
137912,138000,137823,137842,1
137841,137853,137733,137758,1
137757,137907,137700,137710,1
137708,137810,137590,137618,1
137614,137641,137415,137491,0
137495,137660,137486,137512,1
137511,137516,137136,137396,1
137383,137459,137072,137281,1
137279,137356,136863,136979,1
136973,136975,136401,136521,1
136516,136647,135955,136051,0
136050,136555,135959,136381,0
136375,136778,136374,136778,1
136776,136879,136631,136773,0
136776,136942,136748,136878,1
136879,136890,136774,136819,0
136822,136954,136809,136924,1
136923,136923,136831,136885,1
136885,136943,136777,136867,1
136871,136880,136526,136615,0
136618,136775,136612,136775,1
136776,136802,136608,136641,0
136645,136731,136571,136727,1
136728,136747,136622,136690,0
136689,136751,136658,136702,0
136703,136869,136639,136813,1
136800,136809,136316,136367,1
136370,136511,136082,136259,1
136260,136359,135662,135683,1
135685,135830,135368,135594,1
135593,135636,135311,135500,0
135501,135729,135461,135599,0
135595,135997,135595,135898,0
135899,136265,135506,136196,1
136193,136428,135991,136092,0
136091,136267,136004,136238,0
136245,136387,136168,136306,1
136305,136305,136018,136049,0
136048,136256,136031,136163,1
136162,136166,136042,136162,0
136159,136363,136153,136309,0
136158,136235,136091,136227,0
136226,136303,136116,136232,1
136233,136233,136060,136150,1
136153,136194,136097,136128,0
136126,136172,136119,136134,1
136132,136150,136042,136092,1
136093,136132,135922,135940,1
135936,135961,135785,135932,0
135937,136166,135813,136086,1
136082,136158,135932,135947,0
135945,136142,135920,136111,0
136107,136322,136072,136197,0
136191,136290,136107,136261,1
136264,136306,136092,136100,1
136095,136107,135943,136082,1
136078,136178,135893,135935,0
135936,135957,135810,135941,0
135944,136118,135856,136052,0
136051,136077,135948,136075,1
136066,136078,135977,135979,0
135977,136001,135936,135988,0
135986,136016,135976,135997,1
135988,136012,135938,135977,1
135980,136014,135938,135973,1
135981,136024,135942,135972,0
135973,136070,135879,136052,0
136055,136286,136033,136225,1
136230,136265,136178,136216,0
136218,136248,136168,136241,0
136243,136479,136200,136428,0
136430,136523,136359,136441,0
136439,136626,136363,136528,1
136529,136654,136433,136474,0
136473,136823,136473,136660,1
136664,136681,136409,136561,1
136558,136661,136388,136442,0
136444,136556,136390,136519,1
136518,136622,136337,136337,0
136335,136752,136334,136690,1
136688,136735,136443,136594,0
136591,137155,136458,137015,0
137016,137511,137008,137416,0
137412,137745,137406,137565,0
137560,137672,137501,137637,1
137635,137724,137553,137558,0
137562,137785,137550,137666,0
137665,137716,137639,137698,1
137696,137711,137579,137587,0
137595,137683,137568,137640,0
137638,137746,137595,137662,1
137663,137702,137557,137608,0
137609,137671,137571,137664,1
137666,137727,137635,137657,0
137658,137807,137634,137782,1
137780,137790,137704,137710,1
137709,137736,137508,137518,0
137519,137784,137379,137738,1
137735,137881,137697,137732,1
137728,137731,137414,137459,1
137461,137562,137262,137288,0
137284,137351,137143,137309,0
137296,137371,137225,137329,1
137330,137361,137058,137093,1
137091,137128,136939,136976,1
136975,137022,136393,136539,1
136540,136540,135989,136260,1
136264,136348,135993,136147,0
136146,136273,136032,136150,0
136161,136177,135859,136166,1
136165,136172,136057,136061,1
136064,136121,135899,136062,1
136063,136064,135914,135993,0
135992,136075,135957,136072,1
136070,136125,135631,135743,1
135746,135833,135621,135649,1
135651,135730,135576,135634,0
135635,135805,135632,135768,1
135769,135787,135661,135688,0
135694,135751,135636,135747,0
135744,135942,135744,135918,1
135924,135934,135391,135430,0
135431,135670,135421,135581,0
135580,135829,135461,135724,0
135723,135919,135723,135815,1
135819,135821,135623,135624,0
135625,135834,135569,135787,1
135784,135801,135472,135734,0
135735,136537,135662,136300,1
136301,136397,136070,136258,1
136257,136260,135581,135618,0
135619,135927,135552,135927,0
135933,136206,135805,136162,1
136165,136220,136053,136155,1
136156,136167,136013,136116,1
136117,136206,135041,135264,1
135265,135354,134835,134923,1
134952,134983,134433,134666,0
134665,134924,134533,134903,1
